31-May-00,BBCA,67,PT Bank Central Asia Tbk.,Finance
12-Aug-15,BBHI,68,PT Bank Harda Internasional Tbk.,Finance
10-Jul-06,BBKP,69,Bank Bukopin Tbk,Finance
7-May-90,BBLD,70,Buana Finance Tbk,Finance
8-Jul-13,BBMD,71,PT Bank Mestika Dharma Tbk.,Finance
25-Nov-96,BBNI,72,PT Bank Negara Indonesia (Persero) Tbk,Finance
10-Nov-03,BBRI,73,PT Bank Rakyat Indonesia (Persero) Tbk,Finance
9-Jan-13,BBRM,74,Pelayaran Nasional Bina Buana Raya Tbk,"Infrastructure, Utilities, and Transportation"
17-Dec-09,BBTN,75,PT Bank Tabungan Negara (Persero) Tbk,Finance
13-Jan-15,BBYB,76,PT Bank Yudha Bhakti Tbk.,Finance
8-Jun-01,BCAP,77,MNC Kapital Indonesia Tbk,Finance
25-Jun-97,BCIC,78,PT Bank JTrust Indonesia Tbk.,Finance
11-Dec-09,BCIP,79,Bumi Citra Permai Tbk,"Property, Real Estate, and Building Construction"
6-Dec-89,BDMN,80,PT Bank Danamon Indonesia Tbk,Finance
10-Jan-19,BEEF,81,PT Estika Tata Tiara Tbk.,Agriculture
13-Jul-01,BEKS,82,PT Bank Pembangunan Daerah Banten Tbk.,Finance
3-Oct-17,BELL,83,PT Trisula Textile Industries Tbk,Miscellaneous Industry
10-Apr-12,BEST,84,Bekasi Fajar Industrial Estate Tbk,"Property, Real Estate, and Building Construction"
16-May-90,BFIN,85,BFI Finance Indonesia Tbk,Finance
12-May-16,BGTG,86,PT Bank Ganesha Tbk.,Finance
24-Nov-97,BHIT,87,PT MNC Investama Tbk.,"Trade, Service, and Investment"
14-Jul-15,BIKA,88,PT Binakarya Jaya Abadi Tbk.,"Property, Real Estate, and Building Construction"
30-Aug-94,BIMA,89,Primarindo Asia Infrastructure Tbk,Miscellaneous Industry
16-Jan-14,BINA,90,PT Bank Ina Perdana Tbk.,Finance
11-Feb-10,BIPI,91,PT Astrindo Nusantara Infrastruktur Tbk.,Mining
23-Oct-95,BIPP,92,Bhuwanatala Indah Permai Tbk,"Property, Real Estate, and Building Construction"
5-Nov-14,BIRD,93,PT Blue Bird Tbk,"Infrastructure, Utilities, and Transportation"
28-May-07,BISI,94,BISI INTERNATIONAL Tbk,Agriculture
8-Jul-10,BJBR,95,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Finance
12-Jul-12,BJTM,96,Bank Pembangunan Daerah Jawa Timur Tbk,Finance
15-Jun-07,BKDP,97,Bukit Darmo Property Tbk,"Property, Real Estate, and Building Construction"
28-Jul-97,BKSL,98,Sentul City Tbk,"Property, Real Estate, and Building Construction"
21-Nov-02,BKSW,99,PT Bank QNB Indonesia Tbk,Finance
26-Mar-90,BLTA,100,Berlian Laju Tanker Tbk,"Infrastructure, Utilities, and Transportation"
10-Apr-14,BLTZ,101,PT Graha Layar Prima Tbk.,"Trade, Service, and Investment"
8-Jul-19,BLUE,102,PT Berkah Prima Perkasa Tbk,"Trade, Service, and Investment"
11-Jul-13,BMAS,103,PT Bank Maspion Indonesia Tbk.,Finance
14-Jul-03,BMRI,104,PT Bank Mandiri (Persero) Tbk,Finance
29-Dec-99,BMSR,105,Bintang Mitra Semestaraya Tbk,"Trade, Service, and Investment"
17-Jul-95,BMTR,106,Global Mediacom Tbk,"Trade, Service, and Investment"
1-Jun-06,BNBA,107,Bank Bumi Arta Tbk,Finance
28-Aug-89,BNBR,108,Bakrie & Brothers Tbk,"Trade, Service, and Investment"
29-Nov-89,BNGA,109,PT Bank CIMB Niaga Tbk,Finance
21-Nov-89,BNII,110,PT Bank Maybank Indonesia Tbk,Finance
15-Jan-90,BNLI,111,Bank Permata Tbk,Finance
19-Dec-16,BOGA,112,PT Bintang Oto Global Tbk,"Trade, Service, and Investment"
17-Jun-19,BOLA,113,PT Bali Bintang Sejahtera Tbk.,"Trade, Service, and Investment"
7-Jul-15,BOLT,114,PT Garuda Metalindo Tbk.,Miscellaneous Industry
26-Nov-10,BORN,115,Borneo Lumbung Energi & Metal Tbk,Mining
15-Feb-18,BOSS,116,PT Borneo Olah Sarana Sukses Tbk.,Mining
1-Jun-09,BPFI,117,Batavia Prosperindo Finance Tbk,Finance
8-Jul-14,BPII,118,PT Batavia Prosperindo Internasional Tbk.,Finance
9-Jul-18,BPTR,119,PT Batavia Prosperindo Trans Tbk.,"Infrastructure, Utilities, and Transportation"
5-Sep-90,BRAM,120,Indo Kordsa Tbk,Miscellaneous Industry
1-Jan-11,BRIS,121,PT Bank BRIsyariah Tbk,Finance
9-Dec-10,BRMS,122,Bumi Resources Minerals Tbk,Mining
6-Nov-89,BRNA,123,Berlina Tbk,Basic Industry and Chemicals
1-Oct-93,BRPT,124,Barito Pacific Tbk,Basic Industry and Chemicals
6-Jun-08,BSDE,125,PT Bumi Serpong Damai Tbk,"Property, Real Estate, and Building Construction"
13-Dec-10,BSIM,126,Bank Sinarmas Tbk,Finance
8-Nov-12,BSSR,127,Baramulti Suksessarana Tbk,Mining
1-May-02,BSWD,128,Bank of India Indonesia Tbk,Finance
